iter	Passed	Remaining
401	15039	22372
402	15074	22331
403	15109	22289
404	15141	22245
405	15186	22218
406	15219	22175
407	15257	22138
408	15291	22096
409	15329	22059
410	15368	22024
411	15408	21990
412	15441	21947
413	15478	21909
414	15511	21866
415	15540	21816
416	15573	21773
417	15607	21731
418	15642	21690
419	15670	21640
420	15701	21594
421	15732	21548
422	15762	21500
423	15799	21463
424	15837	21426
425	15870	21383
426	15903	21341
427	15940	21303
428	15975	21264
429	16013	21227
430	16058	21200
431	16098	21166
432	16142	21138
433	16184	21107
434	16216	21062
435	16254	21027
436	16283	20978
437	16321	20942
438	16355	20900
439	16388	20857
440	16427	20823
441	16468	20791
442	16509	20757
443	16550	20725
444	16591	20692
445	16632	20659
446	16671	20624
447	16711	20591
448	16751	20556
449	16785	20516
450	16825	20481
451	16860	20441
452	16903	20411
453	16933	20364
454	16966	20322
455	17004	20285
456	17035	20241
457	17072	20203
458	17113	20171
459	17151	20134
460	17187	20095
461	17221	20054
462	17257	20015
463	17289	19972
464	17324	19932
465	17359	19892
466	17392	19850
467	17431	19814
468	17467	19776
469	17503	19737
470	17538	19698
471	17575	19660
472	17603	19612
473	17631	19566
474	17664	19523
475	17693	19477
476	17732	19442
477	17764	19399
478	17792	19353
479	17819	19304
480	17846	19256
481	17881	19217
482	17910	19170
483	17949	19135
484	17981	19094
485	18017	19056
486	18064	19029
487	18122	19013
488	18168	18985
489	18222	18966
490	18285	18955
491	18336	18932
492	18371	18893
493	18414	18862
494	18454	18827
495	18495	18793
496	18538	18761
497	18574	18723
498	18611	18686
499	18648	18648
500	18676	18601
501	18707	18558
502	18738	18514
503	18770	18472
504	18804	18432
505	18834	18388
506	18876	18355
507	18920	18324
508	18950	18279
509	18978	18234
510	19010	18191
511	19047	18154
512	19095	18127
513	19138	18096
514	19174	18057
515	19204	18013
516	19241	17975
517	19277	17937
518	19310	17896
519	19340	17852
520	19374	17812
521	19402	17767
522	19434	17725
523	19470	17687
524	19504	17647
525	19535	17604
526	19571	17566
527	19603	17524
528	19635	17482
529	19675	17447
530	19713	17411
531	19753	17376
532	19782	17333
533	19814	17290
534	19842	17246
535	19874	17204
536	19908	17164
537	19942	17125
538	19975	17084
539	20007	17043
540	20042	17004
541	20084	16971
542	20131	16943
543	20165	16903
544	20205	16869
545	20249	16837
546	20285	16799
547	20325	16764
548	20362	16727
549	20398	16689
550	20429	16647
551	20465	16609
552	20513	16581
553	20552	16546
554	20598	16516
555	20637	16480
556	20681	16449
557	20742	16430
558	20802	16411
559	20858	16388
560	20904	16358
561	20946	16324
562	20985	16289
563	21031	16258
564	21071	16222
565	21131	16203
566	21177	16172
567	21215	16135
568	21256	16100
569	21291	16062
570	21333	16027
571	21369	15990
572	21404	15950
573	21437	15910
574	21478	15875
575	21515	15837
576	21557	15803
577	21592	15764
578	21623	15722
579	21653	15680
580	21689	15641
581	21726	15604
582	21761	15565
583	21793	15523
584	21832	15488
585	21866	15448
586	21904	15411
587	21938	15372
588	21969	15330
589	22020	15302
590	22056	15264
591	22106	15235
592	22146	15199
593	22179	15159
594	22217	15122
595	22252	15083
596	22288	15045
597	22322	15005
598	22362	14970
599	22528	15019
600	22573	14986
601	22610	14948
602	22644	14908
603	22691	14877
604	22726	14838
605	22762	14799
606	22798	14760
607	22840	14726
608	22885	14693
609	22922	14655
610	22965	14621
611	23014	14590
612	23068	14563
613	23138	14546
614	23178	14510
615	23220	14474
616	23264	14441
617	23301	14403
618	23341	14367
619	23382	14330
620	23422	14294
621	23456	14255
622	23496	14218
623	23533	14180
624	23577	14146
625	23617	14110
626	23664	14077
627	23708	14044
628	23753	14010
629	23798	13976
630	23842	13942
631	23895	13913
632	23939	13879
633	23972	13838
634	24008	13799
635	24042	13760
636	24075	13719
637	24111	13680
638	24155	13646
639	24192	13608
640	24232	13571
641	24272	13535
642	24311	13497
643	24349	13460
644	24396	13427
645	24440	13393
646	24486	13359
647	24532	13326
648	24588	13298
649	24631	13263
650	24675	13228
651	24717	13192
652	24755	13155
653	24796	13118
654	24837	13082
655	24874	13044
656	24914	13007
657	24947	12966
658	24981	12926
659	25013	12885
660	25046	12845
661	25078	12804
662	25112	12764
663	25157	12730
664	25187	12688
665	25223	12649
666	25260	12611
667	25296	12572
668	25329	12532
669	25380	12500
670	25420	12463
671	25468	12430
672	25507	12393
673	25544	12355
674	25579	12316
675	25633	12285
676	25676	12250
677	25711	12211
678	25747	12172
679	25778	12130
680	25808	12089
681	25837	12047
682	25874	12009
683	25902	11966
684	25932	11925
685	25965	11885
686	25995	11843
687	26027	11803
688	26062	11764
689	26100	11726
690	26127	11683
691	26162	11644
692	26196	11604
693	26228	11564
694	26258	11523
695	26291	11483
696	26324	11443
697	26356	11403
698	26386	11362
699	26417	11321
700	26447	11280
701	26485	11243
702	26519	11203
703	26550	11163
704	26580	11122
705	26608	11080
706	26641	11040
707	26669	10999
708	26701	10959
709	26729	10917
710	26766	10879
711	26799	10840
712	26832	10800
713	26869	10762
714	26906	10724
715	26943	10686
716	26977	10648
717	27012	10609
718	27039	10567
719	27073	10528
720	27105	10488
721	27138	10449
722	27173	10410
723	27202	10369
724	27234	10330
725	27267	10290
726	27306	10254
727	27339	10214
728	27379	10177
729	27415	10140
730	27458	10104
731	27500	10068
732	27546	10034
733	27587	9997
734	27633	9963
735	27673	9926
736	27713	9889
737	27760	9855
738	27828	9828
739	27875	9793
740	27915	9757
741	28163	9792
742	28232	9765
743	28276	9729
744	28313	9691
745	28344	9650
746	28380	9612
747	28411	9571
748	28448	9533
749	28483	9494
750	28515	9454
751	28551	9415
752	28584	9376
753	28616	9336
754	28650	9297
755	28684	9257
756	28716	9218
757	28754	9180
758	28790	9141
759	28837	9106
760	28871	9067
761	28904	9027
762	28935	8987
763	28969	8948
764	29007	8910
765	29039	8871
766	29080	8834
767	29121	8797
768	29161	8759
769	29202	8722
770	29244	8686
771	29285	8649
772	29325	8611
773	29363	8573
774	29403	8536
775	29444	8499
776	29484	8462
777	29524	8424
778	29569	8388
779	29614	8352
780	29652	8314
781	29688	8276
782	29731	8239
783	29766	8201
784	29816	8166
785	29871	8132
786	29930	8100
787	29993	8069
788	30052	8036
789	30129	8008
790	30212	7982
791	30274	7950
792	30323	7915
793	30369	7879
794	30420	7844
795	30470	7808
796	30509	7770
797	30539	7730
798	30570	7690
799	30602	7650
800	30632	7610
801	30664	7570
802	30693	7529
803	30724	7489
804	30756	7450
805	30785	7409
806	30818	7370
807	30845	7329
808	30878	7290
809	30910	7250
810	30946	7211
811	30983	7173
812	31018	7134
813	31047	7094
814	31078	7054
815	31109	7014
816	31138	6974
817	31172	6935
818	31202	6895
819	31241	6857
820	31273	6818
821	31309	6779
822	31349	6742
823	31376	6701
824	31405	6661
825	31434	6621
826	31466	6582
827	31497	6543
828	31534	6504
829	31571	6466
830	31610	6428
831	31651	6391
832	31692	6353
833	31737	6316
834	31773	6278
835	31824	6243
836	31875	6207
837	31918	6170
838	31960	6133
839	32008	6096
840	32065	6062
841	32112	6025
842	32164	5990
843	32205	5952
844	32243	5914
845	32279	5875
846	32317	5837
847	32348	5798
848	32380	5759
849	32413	5720
850	32448	5681
851	32480	5642
852	32520	5604
853	32560	5566
854	32607	5529
855	32651	5492
856	32686	5454
857	32722	5415
858	32771	5379
859	32820	5342
860	32861	5305
861	32898	5266
862	32928	5227
863	32958	5187
864	32992	5149
865	33027	5110
866	33063	5071
867	33100	5033
868	33136	4995
869	33170	4956
870	33203	4917
871	33231	4878
872	33270	4839
873	33307	4801
874	33348	4764
875	33403	4728
876	33451	4691
877	33496	4654
878	33539	4616
879	33584	4579
880	33632	4542
881	33674	4505
882	33712	4467
883	33761	4430
884	33803	4392
885	33853	4355
886	33903	4319
887	33955	4282
888	33998	4245
889	34041	4207
890	34087	4170
891	34135	4132
892	34180	4095
893	34220	4057
894	34260	4019
895	34298	3981
896	34344	3943
897	34385	3905
898	34425	3867
899	34456	3828
900	34495	3790
901	34535	3752
902	34578	3714
903	34610	3675
904	34643	3636
905	34682	3598
906	34714	3559
907	34747	3520
908	34780	3481
909	34813	3443
910	34844	3404
911	34877	3365
912	34912	3326
913	34949	3288
914	34985	3250
915	35024	3211
916	35061	3173
917	35097	3135
918	35133	3096
919	35168	3058
920	35208	3020
921	35247	2981
922	35276	2942
923	35305	2903
924	35333	2864
925	35364	2826
926	35396	2787
927	35426	2748
928	35459	2710
929	35491	2671
930	35523	2632
931	35557	2594
932	35589	2555
933	35623	2517
934	35656	2478
935	35691	2440
936	35719	2401
937	35750	2363
938	35781	2324
939	35811	2285
940	35841	2247
941	35874	2208
942	35906	2170
943	35936	2131
944	35967	2093
945	35997	2054
946	36025	2016
947	36059	1977
948	36089	1939
949	36121	1901
950	36162	1863
951	36204	1825
952	36239	1787
953	36280	1749
954	36314	1711
955	36355	1673
956	36392	1635
957	36423	1596
958	36461	1558
959	36498	1520
960	36536	1482
961	36572	1444
962	36624	1407
963	36675	1369
964	36715	1331
965	36761	1293
966	36802	1255
967	36842	1217
968	36888	1180
969	36925	1142
970	36963	1103
971	36998	1065
972	37032	1027
973	37070	989
974	37119	951
975	37157	913
976	37199	875
977	37243	837
978	37297	800
979	37347	762
980	37397	724
981	37441	686
982	37479	648
983	37524	610
984	37573	572
985	37622	534
986	37669	496
987	37706	457
988	37741	419
989	37779	381
990	37816	343
991	37850	305
992	37896	267
993	37942	229
994	37981	190
995	38027	152
996	38070	114
997	38121	76
998	38165	38
999	38206	0
